FR1_CA_1855	1855
FR1_CO_2603	2603
FR1_CO_2605	2605
FR1_CO_2609	2609
FR1_CO_2610	2610
FR1_CO_2616	2616
FR1_CO_2620	2620
FR1_CO_2623	2623
FR1_CO_2626	2626
FR1_CO_2630	2630
FR1_CO_2638	2638
FR1_CO_2642	2642
FR1_CO_2654	2654
FR1_CO_2658	2658
FR1_CO_2661	2661
FR1_CO_2666	2666
FR1_CO_2678	2678
FR1_CO_2681	2681
FR1_CO_2683	2683
FR1_CO_2686	2686
FR1_CO_2688	2688
FR1_CO_2690	2690
FR1_CO_2695	2695
FR1_CO_2698	2698
FR1_CO_2700	2700
FR1_CO_2702	2702
FR1_CO_2704	2704
FR1_CO_2705	2705
FR1_CO_2719	2719
FR1_CO_2724	2724
FR1_CO_2728	2728
FR1_CO_2730	2730
FR1_CO_2731	2731
FR1_CO_2738	2738
FR1_CO_2743	2743
FR1_CO_2744	2744
FR1_CO_2746	2746
FR1_CO_2748	2748
FR1_CO_2751	2751
FR1_CO_2753	2753
FR1_CO_2755	2755
FR1_CO_2763	2763
FR1_CO_2765	2765
FR1_CO_2766	2766
FR1_CO_2769	2769
FR1_CO_2771	2771
FR1_CO_2775	2775
FR1_CO_2781	2781
FR1_CO_2785	2785
FR1_CO_2786	2786
FR1_CO_2788	2788
FR1_CO_2792	2792
FR1_CO_2794	2794
FR1_CO_2803	2803
FR1_CO_2806	2806
FR1_CO_2807	2807
FR1_CO_2810	2810
FR1_CO_2812	2812
FR1_CO_2833	2833
FR1_CO_2838	2838
FR1_CO_2847	2847
FR1_CO_2852	2852
FR1_CO_2858	2858
FR1_CO_2864	2864
FR1_CO_2869	2869
FR1_CO_2877	2877
FR1_CO_2884	2884
FR1_CO_2886	2886
FR1_CO_2890	2890
FR1_CO_2908	2908
FR1_CO_2945	2945
FR1_CO_2960	2960
FR1_CO_2966	2966
FR1_CO_2987	2987
FR1_CO_4993	4993
FR1_CO_6952	6952
FR1_CO_21023	21023
FR1_CO_21036	21036
FR1_CO_21039	21039
FR1_CO_21046	21046
FR1_CO_21048	21048
FR1_CO_21050	21050
FR1_CO_21053	21053
FR1_CO_21059	21059
FR1_CO_21062	21062
FR1_CO_21066	21066
FR1_CO_21068	21068
FR1_CO_21073	21073
FR1_CO_21078	21078
FR1_CO_21084	21084
FR1_CO_21085	21085
FR1_CO_21095	21095
FR1_CO_21099	21099
FR1_CO_22004	22004
FR1_CO_22036	22036
FR1_CO_22065	22065
FR1_CO_22066	22066
FR1_CO_22077	22077
FR1_CO_22085	22085
FR1_CO_22093	22093
FR1_CO_22095	22095
FR1_CO_22101	22101
FR1_CO_22107	22107
FR1_CO_22110	22110
FR1_CO_22112	22112
FR1_CO_22114	22114
FR1_CO_22120	22120
FR1_CO_22123	22123
FR1_CO_22127	22127
FR1_CO_22132	22132
FR1_CO_22134	22134
FR1_CO_22136	22136
FR1_CO_22139	22139
FR1_CO_22143	22143
FR1_CO_22159	22159
FR1_CO_22165	22165
FR1_CO_22167	22167
FR1_CO_22170	22170
FR1_CO_22173	22173
FR1_CO_22180	22180
FR1_CO_22183	22183
FR1_CO_22187	22187
FR1_CO_22198	22198
FR1_CO_22205	22205
FR1_CO_22207	22207
FR1_CO_22211	22211
FR1_CO_22216	22216
FR1_CO_22222	22222
FR1_CO_22232	22232
FR1_CO_22234	22234
FR1_CO_22236	22236
FR1_CO_22239	22239
FR1_CO_22254	22254
FR1_CO_22257	22257
FR1_CO_22258	22258
FR1_CO_22262	22262
FR1_CO_22267	22267
FR1_CO_22271	22271
L000466	lyon03945
L001328	lyon02860
L002206	lyon01955
L002238	lyon01026
L002951	lyon01228
L000186	lyon03142
L000241	lyon03951
L000294	lyon03998
L000322	lyon00861
L000353	lyon00088
L000365	lyon00532
L000378	lyon00792
L000382	lyon03369
L000400	lyon00106
L000406	lyon02973
L000407	lyon01320
L000415	lyon00406
L000673	lyon00764
L000694	lyon00383
L000765	lyon02475
L000774	lyon03210
L000785	lyon00581
L000852	lyon00902
L000871	lyon03669
L000880	lyon02677
L001144	lyon02566
L001160	lyon03493
L001218	lyon00180
L001231	lyon00023
L001292	lyon02861
L001296	lyon00750
L001379	lyon01230
L001430	lyon01794
L001460	lyon02197
L001647	lyon01034
L001677	lyon02798
L001712	lyon02795
L001797	lyon01566
L001851	lyon03420
L001877	lyon03426
L001929	lyon02159
L002009	lyon00315
L002019	lyon00820
L002023	lyon01241
L002031	lyon01204
L002037	lyon03731
L002057	lyon01177
L002123	lyon03711
L002131	lyon01165
L002160	lyon00138
L002250	lyon03690
L002256	lyon00061
L002262	lyon01025
L002286	lyon01231
L002293	lyon00251
L002333	lyon01990
L002436	lyon01207
L002468	lyon02115
L002483	lyon02492
L002543	lyon03962
L002587	lyon03940
L002607	lyon00124
L002637	lyon00060
L002658	lyon03101
L002688	lyon02960
L002701	lyon03291
L002729	lyon00033
L002733	lyon00691
L002741	lyon03923
L002763	lyon00243
L002784	lyon02785
L002787	lyon03342
L002795	lyon01924
L002817	lyon02730
L002823	lyon03169
L002848	lyon02682
L002861	lyon03534
L002870	lyon00055
L002900	lyon02961
L002910	lyon01865
L002919	lyon00561
L002920	lyon01537
L002932	lyon02252
L002936	lyon00612
L002938	lyon01964
L002945	lyon00509
L002964	lyon01598
L003000	lyon01036
L003013	lyon02835
L003018	lyon02073
L003023	lyon00548
L003042	lyon02496
L003043	lyon02688
L003051	lyon01578
L003052	lyon00550
L003067	lyon03205
L003073	lyon01730
L003076	lyon03606
L003083	lyon03624
L003085	lyon02409
L003088	lyon03570
L003093	lyon01657
L003105	lyon01557
L003114	lyon00596
L003115	lyon02634
L003116	lyon00145
L003117	lyon00611
L003118	lyon03109
L003120	lyon02456
L003122	lyon03647
L003123	lyon00489
L003124	lyon03177
L003126	lyon03416
L003127	lyon00486
L003128	lyon01222
L003129	lyon01594
L003131	lyon03010
L003132	lyon02315
L003134	lyon02443
L003137	lyon03002
L003138	lyon02806
L003141	lyon02892
L003143	lyon02422
L003145	lyon02275
L003147	lyon00841
L003148	lyon02970
L003149	lyon02120
L003150	lyon02501
L003151	lyon03313
L003152	lyon03836
L003153	lyon00040
L003159	lyon03195
L003161	lyon01253
L003162	lyon01780
L003163	lyon01028
L003164	lyon01002
L003165	lyon01152
L003168	lyon01576
L003169	lyon00669
L003172	lyon01666
L003173	lyon01960
L003175	lyon00682
L003177	lyon02337
L003181	lyon02610
L003182	lyon00322
L003185	lyon01629
L003186	lyon00769
L003187	lyon02250
L003189	lyon02992
L003191	lyon02948
L003192	lyon00545
L003193	lyon03143
L003194	lyon01088
L003195	lyon00824
L003196	lyon02553
L003198	lyon01077
L003199	lyon02399
L003201	lyon00901
L003203	lyon03714
L003206	lyon01290
L003208	lyon02149
L003209	lyon04181
L003210	lyon00583
L003211	lyon00100
L003212	lyon01510
L003213	lyon00484
L003214	lyon01974
L003215	lyon02335
L003218	lyon03087
L003220	lyon01648
L003221	lyon01676
L003222	lyon01297
L003223	lyon03022
L003224	lyon04077
L003227	lyon01007
L003230	lyon03740
L003231	lyon02586
L003232	lyon01781
L003233	lyon03614
L003236	lyon02559
L003237	lyon04103
L003241	lyon03393
L003244	lyon02336
L003250	lyon00571
L003256	lyon03886
L003257	lyon02240
L003259	lyon01718
L003260	lyon02322
L003261	lyon03434
L003264	lyon01147
L003266	lyon03880
L003267	lyon01159
L003269	lyon01308
L003271	lyon00724
L003272	lyon01444
L003273	lyon03689
L003275	lyon03124
L003276	lyon03893
L003278	lyon01223
L003279	lyon02568
L003280	lyon02774
L003283	lyon03566
L003284	lyon03405
L003286	lyon02071
L003291	lyon02465
L003292	lyon00423
L003293	lyon01361
L003294	lyon02305
L003295	lyon03359
L003296	lyon02556
L003298	lyon03172
L003299	lyon02495
L003302	lyon03246
L003303	lyon02280
L003306	lyon01945
L003309	lyon02127
L003312	lyon00059
L003314	lyon03136
L003317	lyon03826
S000008	lyon01577
